Day,Portfolio_Value
0,100000.00
1,100000.00
2,100000.00
3,100000.00
4,100000.00
5,100000.00
6,100000.00
7,100000.00
8,100000.00
9,100000.00
10,100000.00
11,100000.00
12,100000.00
13,100000.00
14,100000.00
15,100000.00
16,100000.00
17,100000.00
18,100000.00
19,100000.00
20,100000.00
21,100000.00
22,100000.00
23,100000.00
24,100000.00
25,99804.41
26,100242.89
27,99861.45
28,98776.67
29,99496.79
30,100166.37
31,100210.93
32,100094.56
33,100877.95
34,101469.61
35,100824.43
36,101699.24
37,102417.22
38,103237.22
39,103806.30
40,102989.43
41,102863.96
42,103106.53
43,101997.70
44,101421.11
45,101676.08
46,104327.10
47,104484.73
48,105006.22
49,106091.63
50,105752.93
51,106276.52
52,105850.79
53,106165.02
54,108266.35
55,108340.74
56,108489.54
57,107325.25
58,108019.23
59,108984.18
60,108050.42
61,108283.03
62,108897.46
63,101560.38
64,99203.30
65,97387.45
66,97485.24
67,91576.68
68,91211.69
69,91211.69
70,91211.69
71,91211.69
72,91211.69
73,91211.69
74,91211.69
75,91211.69
76,91211.69
77,91211.69
78,91211.69
79,91211.69
80,91211.69
81,91211.69
82,91211.69
83,91211.69
84,91211.69
85,91211.69
86,91211.69
87,91211.69
88,91211.69
89,91211.69
90,91211.69
91,91211.69
92,91211.69
93,91211.69
94,91211.69
95,91211.69
96,91211.69
97,91211.69
98,91211.69
99,91211.69
100,91211.69
101,91211.69
102,91211.69
103,91211.69
104,91211.69
105,91211.69
106,91211.69
107,91211.69
108,91211.69
109,91211.69
110,91211.69
111,91211.69
112,91211.69
113,91211.69
114,91211.69
115,91211.69
116,91211.69
117,91211.69
118,91211.69
119,91211.69
120,91211.69
121,91211.69
122,91211.69
123,91211.69
124,91211.69
125,91211.69
126,91211.69
127,91211.69
128,91211.69
129,91211.69
130,91211.69
131,91211.69
132,91211.69
133,91211.69
134,91211.69
135,91211.69
136,91211.69
137,91722.03
138,91122.11
139,91338.66
140,91941.16
141,92982.55
142,91412.77
143,89868.71
144,89091.45
145,87953.90
146,87597.49
147,87256.40
148,87728.02
149,87350.47
150,84863.16
151,85384.99
152,85576.81
153,85583.61
154,86283.58
155,86391.27
156,87380.58
157,89311.45
158,89968.85
159,89410.10
160,87304.39
161,84678.01
162,85020.37
163,85191.15
164,85811.44
165,86742.54
166,85173.33
167,84651.75
168,85177.93
169,85558.96
170,85852.33
171,87234.18
172,88035.60
173,89084.07
174,89787.53
175,88664.41
176,88109.16
177,87600.58
178,88620.39
179,88815.33
180,90107.21
181,90463.72
182,90467.25
183,89494.09
184,88200.57
185,89616.00
186,89364.04
187,90216.86
188,91458.12
189,91269.45
190,92105.92
191,90932.31
192,91632.87
193,90970.17
194,91451.73
195,90207.39
196,91275.79
197,91639.93
198,92562.96
199,93539.09
200,93224.16
201,93030.98
202,92770.37
203,93772.91
204,94578.67
205,95481.30
206,95756.44
207,96317.59
208,96203.41
209,95324.99
210,95877.83
211,96071.83
212,96092.34
213,96312.35
214,95419.91
215,95050.68
216,94846.48
217,95072.98
218,96442.48
219,95848.03
220,97067.09
221,96366.89
222,94546.37
223,94627.80
224,93493.87
225,93833.66
226,92668.46
227,92758.27
228,93055.33
229,93213.96
230,93429.93
231,91368.68
232,90786.99
233,92026.58
234,90763.36
235,90737.84
236,93425.68
237,94406.49
238,94455.78
239,95784.99
240,96275.64
241,96706.34
242,96494.05
243,98610.64
244,98372.71
245,98543.72
246,98566.84
247,98572.76
248,98974.46
249,100687.67
250,102929.24
251,104016.93
252,104016.93
