Day,Portfolio_Value
0,100000.00
1,100000.00
2,100000.00
3,100000.00
4,100000.00
5,100000.00
6,100000.00
7,100000.00
8,100000.00
9,100000.00
10,100000.00
11,100000.00
12,100000.00
13,100000.00
14,100000.00
15,100000.00
16,100000.00
17,100000.00
18,100000.00
19,100000.00
20,100000.00
21,100000.00
22,100000.00
23,100000.00
24,100000.00
25,100000.00
26,100000.00
27,100000.00
28,100000.00
29,100000.00
30,100000.00
31,100000.00
32,100000.00
33,100000.00
34,100000.00
35,100000.00
36,100000.00
37,100000.00
38,100000.00
39,100000.00
40,100000.00
41,100000.00
42,100000.00
43,100000.00
44,100000.00
45,100000.00
46,100000.00
47,100000.00
48,100000.00
49,100000.00
50,100000.00
51,100000.00
52,100000.00
53,100000.00
54,100000.00
55,100000.00
56,100000.00
57,100000.00
58,100000.00
59,100000.00
60,100000.00
61,100000.00
62,100000.00
63,100000.00
64,100000.00
65,100000.00
66,100000.00
67,100000.00
68,100000.00
69,100000.00
70,100000.00
71,100000.00
72,100000.00
73,100000.00
74,100000.00
75,100000.00
76,100000.00
77,100000.00
78,100000.00
79,100000.00
80,100000.00
81,100000.00
82,100000.00
83,100000.00
84,100000.00
85,100000.00
86,100000.00
87,100000.00
88,100000.00
89,100000.00
90,100000.00
91,100000.00
92,100000.00
93,100000.00
94,100000.00
95,100000.00
96,100000.00
97,100000.00
98,100000.00
99,100000.00
100,100000.00
101,100000.00
102,100000.00
103,100000.00
104,100000.00
105,100000.00
106,100000.00
107,100000.00
108,100000.00
109,100000.00
110,100000.00
111,100000.00
112,100000.00
113,100000.00
114,100000.00
115,100000.00
116,100000.00
117,100000.00
118,100000.00
119,100000.00
120,100000.00
121,100000.00
122,100000.00
123,100000.00
124,100000.00
125,99948.65
126,99512.54
127,101211.53
128,100350.19
129,101301.55
130,101453.22
131,101603.38
132,101455.17
133,101941.46
134,102526.73
135,104118.17
136,104599.27
137,103171.48
138,100940.63
139,101550.61
140,103847.06
141,104560.63
142,106000.34
143,110364.53
144,109923.81
145,110543.97
146,111194.42
147,112181.67
148,111769.62
149,112628.30
150,113675.69
151,115338.21
152,116823.32
153,117362.74
154,115754.20
155,117913.56
156,117611.57
157,119825.51
158,118272.93
159,116962.31
160,114137.02
161,111859.46
162,110682.20
163,112708.73
164,113749.68
165,114437.74
166,116152.39
167,117169.28
168,118175.53
169,117459.53
170,120230.30
171,120917.30
172,119542.84
173,121817.41
174,121876.47
175,123485.91
176,125174.52
177,126825.57
178,125799.22
179,127589.37
180,127532.51
181,128842.78
182,129817.61
183,128597.08
184,129993.64
185,130698.06
186,131059.05
187,132497.76
188,133451.83
189,132778.85
190,131742.64
191,132285.58
192,129296.23
193,129891.74
194,127700.99
195,127046.46
196,126957.72
197,124861.69
198,125757.72
199,124806.89
200,126645.18
201,122857.91
202,119767.38
203,119584.74
204,120468.05
205,121356.85
206,122395.98
207,121161.28
208,121924.40
209,123779.00
210,126878.13
211,125515.27
212,123925.48
213,125648.09
214,123560.19
215,121227.01
216,120248.65
217,117317.04
218,118401.90
219,118846.18
220,117374.70
221,119578.02
222,120404.34
223,122292.30
224,121031.37
225,118058.09
226,121246.03
227,121177.86
228,123363.92
229,122858.90
230,123487.39
231,123126.86
232,126057.05
233,125648.88
234,126752.78
235,127939.15
236,127588.92
237,126911.95
238,128355.04
239,127650.07
240,128531.60
241,127020.01
242,127466.60
243,125083.62
244,124901.59
245,126137.51
246,125801.01
247,128834.34
248,126272.62
249,125617.89
250,126517.83
251,124444.71
252,124444.71
